count	msgid	msgstr	modules
11	Created on	Tạo vào	g10_hybrid_production g10_master g10_mattermost_integration g10_miti_synchronization g10_one_off_production g10_production g10_report g10_shirt_production g10_stock g10_veston_production report_py3o
10	Created by	Tạo bởi	g10_hybrid_production g10_master g10_mattermost_integration g10_one_off_production g10_production g10_report g10_shirt_production g10_stock g10_veston_production report_py3o
10	Display Name	Tên hiển thị	g10_hybrid_production g10_master g10_mattermost_integration g10_one_off_production g10_production g10_report g10_shirt_production g10_stock g10_veston_production report_py3o
10	Last Updated by	Cập nhật lần cuối bởi	g10_hybrid_production g10_master g10_mattermost_integration g10_one_off_production g10_production g10_report g10_shirt_production g10_stock g10_veston_production report_py3o
10	Last Updated on	Cập nhật gần nhất vào	g10_hybrid_production g10_master g10_mattermost_integration g10_one_off_production g10_production g10_report g10_shirt_production g10_stock g10_veston_production report_py3o
9	Company	Đơn vị	g10_hybrid_production g10_master g10_mattermost_integration g10_one_off_production g10_production g10_report g10_shirt_production g10_stock g10_veston_production
9	Name	Tên	g10_hybrid_production g10_master g10_mattermost_integration g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production report_py3o
8	Cancel	Hủy	g10_hybrid_production g10_miti_synchronization g10_one_off_production g10_production g10_report g10_shirt_production g10_stock g10_veston_production
7	Customer	Khách hàng	g10_master g10_miti_synchronization g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
7	Draft	Nháp	g10_hybrid_production g10_master g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
7	Group By	Nhóm theo	g10_hybrid_production g10_master g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
7	Product	Sản phẩm	g10_hybrid_production g10_master g10_miti_synchronization g10_one_off_production g10_production g10_shirt_production g10_veston_production
7	Product Variant	Biến thể sản phẩm	g10_hybrid_production g10_master g10_miti_synchronization g10_production g10_shirt_production g10_stock g10_veston_production
7	Production Order	Lệnh sản xuất	g10_hybrid_production g10_miti_synchronization g10_one_off_production g10_production g10_report g10_shirt_production g10_veston_production
7	Quantity	Số lượng	g10_hybrid_production g10_master g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
7	Res Production Line	Chuyền sản xuất	g10_hybrid_production g10_master g10_one_off_production g10_production g10_report g10_shirt_production g10_veston_production
7	State	Trạng thái	g10_hybrid_production g10_master g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
7	Status	Trạng thái	g10_hybrid_production g10_mattermost_integration g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
7	User	Người dùng	g10_access_management g10_hybrid_production g10_master g10_one_off_production g10_production g10_shirt_production g10_veston_production
6	Color	Màu	g10_hybrid_production g10_master g10_production g10_shirt_production g10_stock g10_veston_production
6	Confirm	Xác nhận	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
6	Confirmed	Xác nhận	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
6	Defect Quantity	Số lượng chi tiết lỗi	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_stock g10_veston_production
6	Fixed Quantity	Số lượng sửa lại	g10_hybrid_production g10_one_off_production g10_production g10_report g10_shirt_production g10_veston_production
6	Manufacturing Order	Lệnh sản xuất	g10_hybrid_production g10_miti_synchronization g10_one_off_production g10_production g10_shirt_production g10_veston_production
6	Material	Nguyên phụ liệu	g10_hybrid_production g10_master g10_miti_synchronization g10_production g10_stock g10_veston_production
6	Pass Quantity	SL đạt	g10_hybrid_production g10_one_off_production g10_production g10_report g10_shirt_production g10_veston_production
6	Product Category	Nhóm sản phẩm	g10_hybrid_production g10_master g10_miti_synchronization g10_shirt_production g10_stock g10_veston_production
6	Product Figure	Vóc	g10_hybrid_production g10_master g10_miti_synchronization g10_production g10_shirt_production g10_veston_production
6	Production	Lệnh Sản xuất	g10_hybrid_production g10_one_off_production g10_production g10_report g10_shirt_production g10_veston_production
6	Production Line	Chuyền SX	g10_hybrid_production g10_master g10_miti_synchronization g10_one_off_production g10_production g10_veston_production
6	Production Shift	Ca sản xuất	g10_hybrid_production g10_master g10_one_off_production g10_production g10_shirt_production g10_veston_production
6	Sequence	Trình tự	g10_hybrid_production g10_master g10_one_off_production g10_production g10_shirt_production g10_veston_production
6	Style	Mã hàng	g10_hybrid_production g10_master g10_production g10_shirt_production g10_stock g10_veston_production
6	Use this field for indentify color of material	Trường thông tin chỉ định màu của NVL/NPL	g10_hybrid_production g10_master g10_one_off_production g10_shirt_production g10_stock g10_veston_production
5	Back to Draft	Quay về Nháp	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Cancel Reason	Lý do từ chối	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Cancelled	Từ chối	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Category	Nhóm	g10_hybrid_production g10_one_off_production g10_shirt_production g10_stock g10_veston_production
5	Confirm Date	Ngày xác nhận	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Confirm User	Người xác nhận	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Date	Ngày	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Delivery Date	Ngày giao hàng	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Details	Chi tiết	g10_hybrid_production g10_one_off_production g10_shirt_production g10_stock g10_veston_production
5	Done	Hoàn thành	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Fail Quantity	SL Lỗi	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
5	Import	Nhập	g10_hybrid_production g10_one_off_production g10_shirt_production g10_stock g10_veston_production
5	In Progress	Đang thực hiện	g10_hybrid_production g10_one_off_production g10_production g10_shirt_production g10_veston_production
